Subject,trial_number,State_1,State_2,State_3,outcome_type,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_reward,State_2_reward,State_3_reward,State_4_reward,State_1_shock,State_2_shock,State_3_shock,State_4_shock
M012,24,2,5,9,moves_entered,10.735185196961538,12.670995834745554,14.10507733821214,0.67,0.0,0,0.55,0.57,0.67,0.63,0.0,0.0,0.0,0.0
M012,25,2,5,9,moves_entered,10.383159493769199,12.35705192558089,14.379595110422088,0.64,0.0,0,0.62,0.61,0.64,0.6,0.0,1.0,0.0,1.0
M012,26,2,5,9,moves_entered,10.262517101375124,12.166994439521659,14.371775091694872,0.61,1.0,0,0.59,0.65,0.61,0.57,0.0,1.0,1.0,0.0
M012,27,2,6,10,moves_entered,10.576607294868154,12.569805575742066,14.420020801164355,0.59,0.0,0,0.58,0.6,0.57,0.59,0.0,1.0,0.0,0.0
M012,28,2,6,10,moves_entered,10.53631684181164,12.206185249520786,14.367395600023883,0.58,0.0,0,0.58,0.56,0.56,0.58,0.0,1.0,0.0,0.0
M012,29,2,6,10,moves_entered,10.498643438811996,12.204967106110416,14.43285800411104,0.55,1.0,0,0.53,0.56,0.56,0.55,0.0,0.0,0.0,1.0
M012,30,2,5,9,moves_entered,9.7813236756665,11.535851543834724,14.057977801603556,0.5,0.0,0,0.57,0.6,0.5,0.53,0.0,0.0,0.0,1.0
M012,31,2,5,9,moves_entered,10.45765303031294,12.128021214910405,14.169669400765997,0.49,0.0,0,0.6,0.65,0.49,0.51,0.0,0.0,0.0,0.0
M012,32,2,5,9,moves_entered,10.450876751940086,12.022923122396605,14.551710840405576,0.46,0.0,0,0.63,0.66,0.46,0.48,0.0,1.0,0.0,1.0
M012,33,2,5,9,moves_entered,10.696283608154772,12.022923122396605,14.551710840405576,nan,nan,0,0.62,0.68,0.49,0.4,0.0,0.0,0.0,1.0
M012,34,2,5,9,moves_entered,10.29149144069379,12.314386109614134,14.290544107403548,0.47,1.0,0,0.63,0.65,0.47,0.45,0.0,0.0,1.0,1.0
M012,35,2,6,10,moves_entered,10.96427984426191,12.71423674561811,14.152190934186365,0.44,0.0,0,0.71,0.76,0.45,0.44,1.0,0.0,0.0,0.0
M012,36,1,3,10,moves_entered,9.867381373285752,12.558708051630674,14.152190934186365,nan,nan,0,0.74,0.7,0.41,0.4,0.0,0.0,0.0,0.0
